date,ticker,price,avg_daily_volume,ret_1m,fwd_ret_1m,mom_3m,vol_60d
2023-09-29,HPG,26.3,17025664731.578947,-0.047101449275362306,-0.12547528517110274,0.30188679245283034,0.018330163423549012
2023-09-29,VIC,46.85,8728719668.421053,-0.24557165861513686,-0.13553895410885808,0.1942307692307692,0.03185463363806372
2023-09-29,VNM,74.2,466599505.2631579,-0.046272493573264684,-0.0835579514824798,0.1770045385779122,0.013310752829461044
2023-10-31,HPG,23.0,8625209740.90909,-0.12547528517110274,0.15434782608695663,0.005736137667304186,0.02137100872081544
2023-10-31,VIC,40.5,2080013236.3636363,-0.13553895410885808,0.030864197530864113,-0.08137254901960778,0.03014093976423416
2023-10-31,VNM,68.0,360697868.1818182,-0.0835579514824798,-0.008823529411764675,0.04507042253521121,0.014154990518742697
2023-11-30,HPG,26.55,16235481500.0,0.15434782608695663,0.05273069679849329,-0.1843971631205673,0.022746284071857942
2023-11-30,VIC,41.75,1493920027.2727273,0.030864197530864113,0.06826347305389224,-0.26497277676951003,0.02577137786226185
2023-11-30,VNM,67.4,407728759.09090906,-0.008823529411764675,0.0029673590504448732,-0.1282051282051282,0.013469015572765872
2023-12-29,HPG,27.95,17449802580.95238,0.05273069679849329,,-0.03804347826086962,0.019850622443689778
2023-12-29,VIC,44.6,610261985.7142857,0.06826347305389224,,-0.3276972624798712,0.01867232261193455
2023-12-29,VNM,67.6,736904790.4761904,0.0029673590504448732,,-0.13367609254498702,0.012822462497734255
